1;0
Offender LF distance traveled with ball;0;21.390000000000025
Offender LF time steps without ball;3328;2484
Offender LF time steps with ball;1;714
Offender LF receive locations;[(-5.144592097008793, 20.279773561466595)];[(-11.782969194366174, 29.727800416392814)]
Offender LF number of keeps;0;713
Offender LF number of goals;1;0
Offender LF location of goal shots;[(-5.144592097008793, 20.279773561466595)];[]
Offender LF number of passes;1;1
Offender LF number of goal attempts;1;0
Offender LF locations of goal attempts;[(-5.165041936287334, 20.257823525624215)];[]
Offender RF distance traveled;99.82937680982572;95.92479142667332
Offender RF distance traveled without ball;99.82937680982572;95.92479142667332
Offender RF distance traveled with ball;0;0
Offender RF time steps without ball;3329;3198
Offender RF time steps with ball;0;0
Offender RF receive locations;[];[]
Offender RF number of keeps;0;0
Offender RF number of goals;0;0
Offender RF location of goal shots;[];[]
Offender RF number of passes;0;0
Offender RF number of goal attempts;0;0
Offender RF locations of goal attempts;[];[]
Defender LB distance traveled;99.79269296475627;95.84421629123582
Defender LB interceptions;0;0
Defender LB interception locations;[];[]
Defender LB number of blocks;0;0
Defender LCB distance traveled;99.87000000000272;95.90385629253038
Defender LCB interceptions;0;0
Defender LCB interception locations;[];[]
Defender LCB number of blocks;0;0
Defender RCB distance traveled;99.84723024381555;95.92097276471488
Defender RCB interceptions;0;0
Defender RCB interception locations;[];[]
Defender RCB number of blocks;0;0
Defender RB distance traveled;99.82567126415765;95.89489459844326
Defender RB interceptions;0;0
Defender RB interception locations;[];[]
Defender RB number of blocks;0;0
Defender LM distance traveled;99.82161123048206;95.86039505364812
Defender LM interceptions;0;0
Defender LM interception locations;[];[]
Defender LM number of blocks;0;0
Defender LCM distance traveled;99.87000000000279;95.88405117109687
Defender LCM interceptions;0;0
Defender LCM interception locations;[];[]
Defender LCM number of blocks;0;1
Defender RCM distance traveled;99.8700000000029;95.79249554130212
Defender RCM interceptions;0;0
Defender RCM interception locations;[];[]
Defender RCM number of blocks;0;0
Defender RM distance traveled;99.81714516200621;95.79606956631591
Defender RM interceptions;0;0
Defender RM interception locations;[];[]
Defender RM number of blocks;0;0
Defender LF distance traveled;99.84261353338242;95.94000000000204
Defender LF interceptions;0;0
Defender LF interception locations;[];[]
Defender LF number of blocks;0;0
Defender RF distance traveled;99.83566098530657;95.76255327183814
Defender RF interceptions;0;0
Defender RF interception locations;[];[]
Defender RF number of blocks;0;0
